initial_value,final_value,total_return,sharpe_ratio,max_drawdown,total_trades,win_rate,total_pnl,avg_pnl,strategy_total_trades,strategy_win_rate
1000000.0,1184971.0717259708,0.16971836224352152,,7.442969572843349,34,32.35294117647059,171960.57450739754,8598.028725369877,20,55.0
1000000.0,955220.6012394686,-0.045812969114618636,,6.906441390864506,95,28.421052631578945,-60592.45975203437,-738.9324360004191,82,32.93
1000000.0,1007648.5392830847,0.007619437503043743,0.016466959683581965,11.839510441927752,64,42.1875,85329.00667863077,1640.9424361275148,52,51.92
1000000.0,1028041.680942745,0.02765571187516882,,10.264221008030152,77,54.54545454545454,28708.827844621777,393.27161430988735,73,57.53
1000000.0,940788.4970626554,-0.06103692867415529,,12.08237723982645,107,29.906542056074763,-92771.66094155352,-997.5447413070272,93,34.41
1000000.0,1181810.5778395156,0.16704765050667256,,12.319827312139875,69,39.130434782608695,185020.10785084468,2846.4631977053027,65,41.54
1000000.0,1004447.057157157,0.004437198216519689,-0.49931553457118416,14.644612136900486,154,41.55844155844156,-25012.419068413,-177.3930430383901,141,45.39
1000000.0,840559.2566838613,-0.17368782691263304,,17.604248118466327,86,31.3953488372093,-153248.72297924932,-2099.29757505821,73,36.99
1000000.0,1003964.5579027629,0.0039567197527838474,,6.11631319400156,136,40.44117647058824,-7044.266704108112,-57.27046100900904,123,44.72
1000000.0,1257681.0152577104,0.22926956114724162,,11.744474994466556,135,53.333333333333336,253565.10024131293,2095.579340837297,121,59.5
1000000.0,956608.4168795695,-0.044361149029542066,,6.818573589182785,89,38.20224719101123,-54675.5504263264,-719.4151371885052,76,44.74
